id,key,interpolations,is_proc,created_at,updated_at,locale,value,is_html,complete,is_list
2778,devise.sessions.signed_in,,false,,,es,Ingreso exitoso.,false,false,false
195,senior_center_note,,false,2014-07-09 08:28:42.904207,2014-07-09 08:28:42.904207,en,Senior Center,false,false,false
2779,devise.sessions.signed_out,,false,,,es,Has salido del sistema.,false,false,false
197,"senior_center_group_trip,_recreation_name",,false,2014-07-09 08:28:42.939308,2014-07-09 08:28:42.939308,en,"Senior Center Group Trip, Recreation",false,false,false
2780,devise.confirmations.send_instructions,,false,,,es,Recibirás un correo electrónico con instrucciones sobre cómo confirmar tu cuenta en unos minutos.,false,false,false
199,"senior_center_group_trip,_recreation_note",,false,2014-07-09 08:28:42.962633,2014-07-09 08:28:42.962633,en,"Senior Center Group Trip, Recreation",false,false,false
2781,devise.registrations.signed_up,,false,,,es,¡Bienvenido! Has ingresado al sistema exitosamente.,false,false,false
201,shopping_name,,false,2014-07-09 08:28:42.997651,2014-07-09 08:28:42.997651,en,Shopping,false,false,false
2782,devise.failure.invalid,,false,,,es,Su correo o contraseña es inválida.,false,false,false
203,shopping_note,,false,2014-07-09 08:28:43.020641,2014-07-09 08:28:43.020641,en,Shopping,false,false,false
2783,errors.messages.not_found,,false,,,es,no se ha encontrado,false,false,false
205,social_service_name,,false,2014-07-09 08:28:43.055332,2014-07-09 08:28:43.055332,en,Social Service,false,false,false
2784,errors.messages.not_saved.one,,false,,,es,un error evitó que este %{resource} fuera guardado:,false,false,false
207,social_service_note,,false,2014-07-09 08:28:43.078678,2014-07-09 08:28:43.078678,en,Social Service,false,false,false
2785,select_agency,,false,,,es,Seleccione la Agencia,false,false,false
209,training_employment_name,,false,2014-07-09 08:28:43.114024,2014-07-09 08:28:43.114024,en,Training/Employment,false,false,false
2786,devise.failure.inactive,,false,,,es,Su cuenta no está activa.,false,false,false
211,training_employment_note,,false,2014-07-09 08:28:43.137757,2014-07-09 08:28:43.137757,en,Training/Employment,false,false,false
2787,devise.failure.locked,,false,,,es,Su cuenta está bloqueada.,false,false,false
213,visit_lebanon_va_medical_center_name,,false,2014-07-09 08:28:43.196279,2014-07-09 08:28:43.196279,en,Visit Lebanon VA Medical Center,false,false,false
2788,devise.failure.timeout,,false,,,es,"Su sesión ha expirado, por favor ingrese nuevamente para continuar.",false,false,false
215,visit_lebanon_va_medical_center_note,,false,2014-07-09 08:28:43.239686,2014-07-09 08:28:43.239686,en,Visit Lebanon VA Medical Center,false,false,false
2789,devise.failure.unauthenticated,,false,,,es,Necesita ingresar o registrarse para continuar.,false,false,false
217,work_name,,false,2014-07-09 08:28:43.277615,2014-07-09 08:28:43.277615,en,Work,false,false,false
2790,devise.failure.unconfirmed,,false,,,es,Debe confirmar su cuenta para continuar.,false,false,false
2791,devise.passwords.send_instructions,,false,,,es,Recibirá un correo electrónico con instrucciones sobre cómo reiniciar su contraseña en unos minutos.,false,false,false
270,fast,,false,2014-09-19 16:24:37.033724,2014-09-19 16:24:37.033724,en,Fast,false,false,false
2847,public_comments,,false,,,es,Comentarios del Público,false,false,false
2792,devise.passwords.send_paranoid_instructions,,false,,,es,"Si su correo electrónico existe en nuestra base de datos, recibirá un enlace para reiniciar su contraseña en unos minutos.",false,false,false
219,work_note,,false,2014-07-09 08:28:43.301743,2014-07-09 08:28:43.301743,en,Work,false,false,false
2793,devise.passwords.updated,,false,,,es,Su contraseña fue cambiada exitosamente y ha sido ingresada al sistema.,false,false,false
221,developmentally_disabled_name,,false,2014-07-10 17:16:03.24775,2014-07-10 17:16:03.24775,en,Developmentally Disabled,false,false,false
2794,devise.passwords.updated_not_active,,false,,,es,Su contraseña se cambió exitosamente.,false,false,false
223,developmentally_disabled_note,,false,2014-07-10 17:16:03.273425,2014-07-10 17:16:03.273425,en,Do you have a developmental disability?,false,false,false
2795,devise.registrations.inactive_signed_up,,false,,,es,"Se has registrado exitosamente; sin embargo, no lo hemos podido ingresar debido a que su cuenta está %{reason}.",false,false,false
225,nemt_eligible_name,,false,2014-07-10 17:16:03.310243,2014-07-10 17:16:03.310243,en,Medicaid eligible,false,false,false
2796,devise.registrations.updated,,false,,,es,Actualizó su cuenta exitosamente.,false,false,false
227,nemt_eligible_note,,false,2014-07-10 17:16:03.327935,2014-07-10 17:16:03.327935,en,Are you eligible for Medicaid?,false,false,false
2797,errors.messages.already_confirmed,,false,,,es,"ya está confirmado, por favor intente ingresar",false,false,false
229,disabled_non_elderly_name,,false,2014-07-10 17:16:03.352344,2014-07-10 17:16:03.352344,en,Disabled (non-elderly),false,false,false
2798,devise.registrations.reasons.inactive,,false,,,es,inactiva,false,false,false
231,disabled_non_elderly_note,,false,2014-07-10 17:16:03.370597,2014-07-10 17:16:03.370597,en,Do you have a disability not related to age?,false,false,false
